timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-12-11T01:48:17,codecarbon,1bb65846-7eeb-41d7-8af8-b01cf2b73e76,pkqh9CiOkp4MkPqRqM_k8Xc3mwBRpojS3RayIk1i5Pg,919.4872737850528,0.0983201577332967,0.0001069293295692,42.5,1005.0893124251628,48.0,0.0108550455755458,0.243006676905186,0.0122474593357928,0.2661091818165245,United States,USA,,,,Linux-3.10.0-1160.119.1.el7.x86_64-x86_64-with-glibc2.17,3.12.7,2.8.0,40,Intel(R) Xeon(R) Platinum 8468,2,2 x NVIDIA H100 80GB HBM3,-97.822,37.751,128,machine,N,1.0
2024-12-16T00:15:24,codecarbon,fd1088a6-9bd0-4442-aa3f-3a2d73a31b56,pkqh9CiOkp4MkPqRqM_k8Xc3mwBRpojS3RayIk1i5Pg,618.3869557757862,0.10508462777635494,0.00016993344829617713,42.5,1625.743978046935,48.0,0.007300392779405715,0.268888360110516,0.008228857534533987,0.28441761042445574,United States,USA,,,,Linux-3.10.0-1160.119.1.el7.x86_64-x86_64-with-glibc2.17,3.12.7,2.8.0,80,Intel(R) Xeon(R) Platinum 8468,4,4 x NVIDIA H100 80GB HBM3,-97.822,37.751,128,machine,N,1.0
